CN|distinguishedName|Enabled
DC01|CN=DC01,OU=Domain Controllers,DC=teknex,DC=ex|True
DC02|CN=DC02,OU=Domain Controllers,DC=teknex,DC=ex|True
DC03|CN=DC03,OU=Domain Controllers,DC=teknex,DC=ex|True
CPT01|CN=CPT01,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT02|CN=CPT02,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT03|CN=CPT03,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT04|CN=CPT04,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT05|CN=CPT05,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|False
CPT06|CN=CPT06,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT07|CN=CPT07,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT08|CN=CPT08,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT09|CN=CPT09,OU=Luxembourg,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT10|CN=CPT10,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT11|CN=CPT11,OU=Luxembourg,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT12|CN=CPT12,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT13|CN=CPT13,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT14|CN=CPT14,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT15|CN=CPT15,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|False
CPT16|CN=CPT16,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT17|CN=CPT17,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT18|CN=CPT18,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT19|CN=CPT19,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT20|CN=CPT20,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|False
